cand_id,number_of_contributions,total_contributions
S4CO00395,11,11500
S4GA11277,1,-1000
S4GA11285,5,5500
S4HI00136,277,626371
S4HI00144,3,12000
S4IA00103,30,66000
S4IA00129,11,11250
S4KS00135,1,2000
S4LA00057,23,39100
S4LA00065,99,826390
S4LA00107,9,20200
S4LA00115,12,658853
S4MA00028,3,4500
S4MI00355,5,5250
S4MN00387,1,2000
S4NC00089,13359,20524645
S4NC00162,12,19000
S4NE00090,27,27850
S4NJ00185,9,13700
S4NJ00193,1,500
S4NM00043,1,1000
S4OK00083,14,26000
S4OK00232,161,396646
S4OR00172,8,5321
S4PA00121,6159,51207753
S4SC00240,632,1257236
S4SD00049,3,8000
S4VT00017,246,579673
S4VT00033,2,0
S4WV00159,4,6500
S4WY00089,1,2700
S60H00254,5,76119
S6AK00151,2,4000
S6AL00013,344,744153
S6AL00195,4,8000
S6AL00344,1,2700
S6AR00132,21,78288
S6AZ00019,355,1667694
S6AZ00225,287,1169251
S6AZ00233,5,4249
S6CA00584,201,1898045
S6CA00691,75,221800
S6CA00741,1,5000
S6CO00226,194,2308109
S6CT05108,2,3515
S6FL00160,4,8000
S6FL00293,18,32800
S6FL00319,5201,21005452
S6FL00343,5,7500
S6FL00350,19,39189
S6FL00376,2,6000
S6FL00426,2,0
S6GA00119,639,3270558
S6GA00200,5,11901
S6IA00140,53,235495
S6ID00112,4,11350
S6IL00151,7,14000
S6IL00292,1834,2885119
S6IN00175,8,14210
S6IN00190,2,2000
S6IN00191,1038,10802710
S6IN00194,1,5000
S6KS00080,11,14889
S6KY00120,44,1009962
S6LA00300,184,1469302
S6LA00318,72,1084167
S6LA00334,18,345060
S6LA00359,53,351146
S6LA00375,2,3000
S6LA00383,1,1000
S6MD00140,53,-85600
S6MD03177,9,15000
S6MD03441,347,814690
S6MD03458,11,15000
S6MD03508,52,375554
S6MD03649,1,16000
S6ME00159,4,3000
S6MN00267,25,34300
S6MO00305,4,2000
