committee_id,state,zipcode,transaction_date,transaction_amount
C00575795,CA,951241757,12232016,25
C00580100,WA,98053,12212016,-74
C00580100,AZ,85255,12012016,350
C00010603,CA,958298128,11302016,25
C00013342,CO,81082,12222016,90
C00580100,CA,92057,12072016,-200
C00458000,MD,20912,12182016,25
C00010603,FL,321686171,12102016,25
C00608398,LA,71315,12062016,2700
C00010603,CA,941243632,12142016,10
C00431429,NY,12302,12092016,10
C00010603,FL,342315306,12152016,25
C00505776,UT,841034404,12232016,1000
C00608398,NY,10708,12042016,1000
C00580100,WA,98053,12122016,74
C00010603,OH,440353809,12272016,10
C00010603,ME,041051104,12272016,100
C00610212,IL,606043121,12172016,2700
C00267849,OR,97701,12312016,100
C00286807,NJ,08330,12202016,20
C00580100,IN,46526,12012016,1032
C00512236,TX,782393139,12282016,150
C00217877,IN,46259,12302016,20
C00230789,CA,91367,12022016,38
C00580100,TX,78132,12212016,250
C00033555,GA,30180,12012016,5
C00010603,ID,837047068,12082016,721
C00010603,CA,900661911,12102016,25
C00010603,MN,554263363,12042016,10
C00010603,CA,954483313,12192016,10
C00002972,FL,338529494,12272016,41
C00267849,WA,983833817,12312016,20
C00581199,TX,75230,12082016,100
C00010603,CA,948033539,12082016,10
C00021121,NY,14051,12312016,25
C00010603,OK,743447828,12132016,25
C00458000,FL,34242,12312016,100
C00010603,DC,200172752,12272016,3
C00425975,AR,722120000,12302016,20
C00589440,CA,92508,12012016,5453
C00010603,CA,947081023,12182016,10
C00010603,MA,024723407,12062016,10
C00010603,CA,958194721,12182016,25
C00489336,MS,39225,12202016,2500
C00010603,CA,921152190,12132016,25
C00425975,AR,722120000,12302016,50
C00010603,PA,173318493,12082016,10
C00010603,SC,290539214,12302016,100
C00237198,PA,18938,12312016,-2300
C00010603,PA,190022759,12192016,10
C00580100,OH,45822,12012016,237
C00575795,MN,553874571,12012016,200
C00544957,PA,15722,12312016,40
C00608398,VA,22207,12052016,500
C00461350,FL,330648301,12272016,2700
C00580100,FL,34293,12222016,250
C00458000,NY,13760,12182016,1
C00010603,CA,925928818,12142016,10
C00035600,IA,503258375,11302016,100
C00216184,CA,92024,12312016,100
C00286807,MO,63366,12202016,20
C00010603,TX,752431805,12122016,10
C00438747,CA,93305,12162016,100
C00010603,CA,945072323,12212016,25
C00286807,TX,76179,12202016,20
C00010603,PA,190904622,11302016,10
C00458000,CA,92647,12182016,5
C00010603,NV,891292163,12282016,10
C00010603,DC,200163523,11302016,50
C00010603,OR,972296463,12052016,10
C00010603,CO,814162656,11302016,10
C00002972,IN,476301860,12232016,38
C00010603,VT,054015288,12152016,25
C00010603,CA,939404312,12282016,10
C00021121,NY,11379,12312016,216
C00431429,NY,13090,12092016,40
C00010603,NJ,070103252,12172016,25
C00010603,NY,112291801,12172016,10
C00010603,TX,770853004,12162016,25
C00425975,SC,296010000,12302016,25
C00237495,CA,92123,12192016,133
C00575795,AK,99501,12162016,-4
C00010603,CA,950059660,12302016,50
C00010603,NH,030323984,12282016,25
C00010603,OK,738580137,12182016,25
C00010603,CA,946114404,12132016,7
C00580100,CT,06612,12212016,59
C00010603,NY,105493401,12222016,25
C00010603,OH,432294103,12072016,25
C00010603,MD,209061954,12192016,25
C00010603,MO,635017150,12262016,50
C00608398,LA,70503,12052016,250
C00010603,VA,222063324,12062016,100
C00002972,SD,573756130,12052016,250
C00025254,MN,553474765,12302016,35
C00010603,CA,949201401,12282016,20
C00010603,TX,773461659,12282016,25
C00575795,CA,925925329,12142016,13
C00575795,CA,910111505,12232016,-38
C00010603,CA,950059209,12212016,10
C00458000,CA,95490,12182016,2
C00286807,OH,43056,12202016,20
C00010603,SC,296054917,12272016,10
C00033555,GA,31302,12012016,10
C00608398,LA,70555,12052016,250
C00010603,HI,968251601,12222016,50
C00010603,CA,931053922,12282016,25
C00010603,CA,945262245,12282016,50
C00608398,LA,70130,12082016,1000
C00010603,FL,329586105,12282016,50
C00010603,IL,606101351,12172016,10
C00010603,VA,229022497,12132016,25
C00010603,NC,288032195,12122016,5
C00580100,NV,89144,12012016,2711
C00002972,IL,612521873,12192016,50
C00580480,NY,10021,12082016,1000
C00010603,RI,029051941,12272016,50
C00010603,UT,840472169,12262016,10
C00002972,NM,870046016,12122016,20
C00580100,IA,52722,12022016,250
C00033555,TX,75165,12292016,5
C00010603,OR,975301736,12062016,10
C00580100,FL,34949,12152016,-250
C00458000,CA,90275,12252016,100
C00010603,NV,895215207,12282016,25
C00425975,AR,722120000,12022016,25
C00010603,CA,945883592,12072016,10
C00010603,MA,024662653,12282016,25
C00458000,OR,97202,12182016,6
C00010603,CA,900496622,12132016,100
C00230789,CA,95742,12022016,20
C00019331,WI,53551,12012016,25
C00458000,VA,22901,12042016,10
C00618728,IL,615301551,12082016,297
C00581199,CA,95061,12042016,50
C00010603,CA,919012386,12282016,25
C00010603,VA,232251934,12282016,25
C00575795,IN,460378978,12212016,25
C00010033,MT,591020741,12272016,20
C00002972,OK,746314634,12162016,41
C00006486,IN,46239,12062016,4000
C00002972,IL,627083787,12192016,38
C00108613,IN,462347521,11302016,400
C00251009,CA,92653,12012016,25
C00010603,IL,605276328,12062016,10
C00010603,DC,200121900,12292016,100
C00010603,CA,940222795,12202016,100
C00010603,NV,891216230,12062016,10
C00033555,GA,31792,12012016,20
C00013342,PA,15613,12222016,30
C00581199,AR,72703,12082016,25
C00010603,OR,973042623,12072016,50
C00560599,TX,75081,12092016,25
C00461046,PA,194467609,12092016,300
C00580100,CO,80127,12112016,35
C00010603,NY,100224167,12282016,100
C00590067,FL,337672960,12242016,500
C00620518,FL,349966745,12222016,100
C00010603,NJ,070461419,12282016,25
C00010603,CA,945027746,12282016,10
